Year,S&P500,10yrTBond
1988,1.1654,1.0822
1989,1.3148,1.1769
1990,0.9694,1.0624
1991,1.3023,1.15
1992,1.0749,1.0936
1993,1.0997,1.1421
1994,1.0133,0.9196
1995,1.372,1.2348
1996,1.2268,1.0143
1997,1.331,1.0994
1998,1.2834,1.1492
1999,1.2089,0.9175
2000,0.9097,1.1666
2001,0.8815,1.0557
2002,0.7803,1.1512
2003,1.2836,1.0038
2004,1.1074,1.0449
2005,1.0483,1.0287
2006,1.1561,1.0196
2007,1.0548,1.1021
2008,0.6345,1.201
2009,1.2594,0.8888
2010,1.1482,1.0846
2011,1.021,1.1604
2012,1.1589,1.0297
2013,1.3215,0.909
2014,1.1352,1.1075
2015,1.0138,1.0128
2016,1.1177,1.0069
2017,1.2164,1.028
