date,cases,deaths
1579824000,0.001,0
1579910400,0.001,0
1579996800,0.001,0
1580083200,0.001,0
1580169600,0.001,0
1580256000,0.001,0
1580342400,0.002,0
1580428800,0.002,0
1580515200,0.002,0
1580601600,0.002,0
1580688000,0.002,0
1580774400,0.002,0
1580860800,0.002,0
1580947200,0.002,0
1581033600,0.002,0
1581120000,0.002,0
1581206400,0.002,0
1581292800,0.002,0
1581379200,0.002,0
1581465600,0.002,0
1581552000,0.002,0
1581638400,0.002,0
1581724800,0.002,0
1581811200,0.002,0
1581897600,0.002,0
1581984000,0.002,0
1582070400,0.002,0
1582156800,0.002,0
1582243200,0.002,0
1582329600,0.002,0
1582416000,0.002,0
1582502400,0.002,0
1582588800,0.002,0
1582675200,0.002,0
1582761600,0.002,0
1582848000,0.002,0
1582934400,0.003,0
1583020800,0.003,0
1583107200,0.004,0
1583193600,0.004,0
1583280000,0.004,0
1583366400,0.005,0
1583452800,0.006,0
1583539200,0.006,0
1583625600,0.007,0
1583712000,0.011,0
1583798400,0.017,0
1583884800,0.022,0
1583971200,0.027,0
1584057600,0.04,0
1584144000,0.051,0
1584230400,0.076,0
1584316800,0.076,0
1584403200,0.107,0.001
1584489600,0.179,0.001
1584576000,0.279,0.002
1584662400,0.412,0.003
1584748800,0.548,0.004
1584835200,0.805,0.006
1584921600,0.922,0.009
1585008000,1.194,0.012
1585094400,1.418,0.013
1585180800,1.904,0.018
1585267200,2.239,0.02
1585353600,2.613,0.028
1585440000,3.445,0.04
1585526400,3.728,0.044
1585612800,4.497,0.061
1585699200,5.153,0.095
1585785600,5.576,0.107
1585872000,6.474,0.141
1585958400,7.44,0.167
1586044800,8.044,0.186
1586131200,8.73,0.209
1586217600,9.513,0.249
1586304000,10.524,0.312
1586390400,11.421,0.351
1586476800,12.478,0.398
1586563200,13.423,0.453
1586649600,14.592,0.485
1586736000,15.481,0.543
1586822400,16.33,0.577
1586908800,17.315,0.63
1586995200,18.098,0.723
1587081600,19.403,0.761
1587168000,20.407,0.861
1587254400,21.284,0.878
1587340800,22.114,0.916
1587427200,23.194,1.003
1587513600,24.561,1.073
1587600000,25.826,1.143
1587686400,27.631,1.221
1587772800,29.074,1.268
1587859200,30.591,1.314
1587945600,31.97,1.348
1588032000,33.469,1.458
